name,count,years,F,recent_count,recent_count_per_k,count_per_k,phonetic,phonetic_relative_f,other_spellings
abigaëlle,1950,"[[1989, 5], [1990, 5], [1995, 5], [1996, 10], [1997, 10], [1998, 10], [2004, 5], [2007, 5], [2010, 25], [2011, 85], [2012, 100], [2013, 125], [2014, 145], [2015, 125], [2016, 135], [2017, 125], [2018, 110], [2019, 150], [2020, 150], [2021, 175], [2022, 155], [2023, 155], [2024, 135]]",1.0,1290.0,0.26816534368299116,0.05750312581094152,/a.bi.ɡa.ɛl/,0.9955555555555555,"[{""name"": ""abiga\u00ebl"", ""relative_frequency"": 0.4222222222222222}, {""name"": ""abiga\u00eblle"", ""relative_frequency"": 0.5777777777777777}]"
abigaïl,845,"[[1981, 5], [1984, 5], [1987, 5], [1988, 5], [1989, 5], [1990, 5], [1991, 5], [1992, 5], [1993, 5], [1995, 5], [1996, 5], [1997, 5], [1998, 5], [1999, 5], [2010, 10], [2011, 30], [2012, 30], [2013, 40], [2014, 50], [2015, 60], [2016, 50], [2017, 50], [2018, 60], [2019, 55], [2020, 55], [2021, 80], [2022, 75], [2023, 60], [2024, 70]]",0.9940828402366864,555.0,0.11537346181710084,0.024918021184741325,/a.bi.ɡa.il/,0.9940828402366864,"[{""name"": ""abiga\u00efl"", ""relative_frequency"": 1.0}]"
aboubacar,2540,"[[1974, 5], [1977, 5], [1978, 5], [1980, 5], [1981, 10], [1982, 5], [1983, 25], [1984, 10], [1985, 10], [1986, 5], [1987, 15], [1988, 15], [1989, 15], [1990, 25], [1991, 20], [1992, 25], [1993, 20], [1994, 20], [1995, 20], [1996, 20], [1997, 25], [1998, 20], [1999, 30], [2000, 25], [2001, 30], [2002, 45], [2003, 35], [2004, 40], [2005, 35], [2006, 45], [2007, 45], [2008, 55], [2009, 45], [2010, 55], [2011, 70], [2012, 85], [2013, 65], [2014, 75], [2015, 75], [2016, 80], [2017, 105], [2018, 115], [2019, 135], [2020, 130], [2021, 170], [2022, 165], [2023, 235], [2024, 225]]",0.0,1360.0,0.28271695147974263,0.07490150746655973,/a.bu.ba.kaʁ/,0.0,"[{""name"": ""aboubacar"", ""relative_frequency"": 0.6365914786967418}, {""name"": ""aboubakar"", ""relative_frequency"": 0.3634085213032581}]"
aboubakar,1450,"[[1956, 5], [1976, 5], [1978, 5], [1979, 10], [1980, 10], [1981, 5], [1982, 20], [1983, 15], [1984, 15], [1985, 20], [1986, 10], [1987, 5], [1988, 15], [1989, 15], [1990, 25], [1991, 15], [1992, 20], [1993, 15], [1994, 15], [1995, 25], [1996, 20], [1997, 20], [1998, 25], [1999, 25], [2000, 20], [2001, 25], [2002, 20], [2003, 20], [2004, 30], [2005, 35], [2006, 30], [2007, 45], [2008, 30], [2009, 35], [2010, 45], [2011, 40], [2012, 50], [2013, 45], [2014, 40], [2015, 45], [2016, 35], [2017, 60], [2018, 55], [2019, 60], [2020, 65], [2021, 50], [2022, 60], [2023, 85], [2024, 65]]",0.0,535.0,0.11121585958945757,0.04275873457736677,/a.bu.ba.kaʁ/,0.0,"[{""name"": ""aboubacar"", ""relative_frequency"": 0.6365914786967418}, {""name"": ""aboubakar"", ""relative_frequency"": 0.3634085213032581}]"
abraham,2185,"[[1942, 5], [1944, 5], [1947, 10], [1948, 10], [1949, 15], [1950, 10], [1951, 10], [1952, 5], [1953, 5], [1954, 5], [1955, 5], [1956, 5], [1957, 5], [1958, 5], [1959, 5], [1960, 10], [1961, 5], [1962, 5], [1963, 10], [1964, 5], [1965, 10], [1966, 10], [1967, 5], [1968, 10], [1969, 10], [1970, 5], [1971, 20], [1972, 15], [1973, 20], [1974, 15], [1975, 10], [1976, 10], [1977, 15], [1978, 15], [1979, 20], [1980, 15], [1981, 20], [1982, 20], [1983, 15], [1984, 25], [1985, 35], [1986, 25], [1987, 20], [1988, 15], [1989, 35], [1990, 35], [1991, 25], [1992, 35], [1993, 30], [1994, 35], [1995, 30], [1996, 35], [1997, 30], [1998, 45], [1999, 35], [2000, 30], [2001, 35], [2002, 30], [2003, 35], [2004, 45], [2005, 40], [2006, 45], [2007, 40], [2008, 45], [2009, 35], [2010, 45], [2011, 50], [2012, 35], [2013, 45], [2014, 40], [2015, 65], [2016, 65], [2017, 75], [2018, 65], [2019, 90], [2020, 70], [2021, 75], [2022, 70], [2023, 60], [2024, 65]]",0.0,635.0,0.13200387072767394,0.06443298969072164,/a.bʁa.am/,0.0,"[{""name"": ""abraham"", ""relative_frequency"": 1.0}]"
achille,11525,"[[1941, 40], [1942, 50], [1943, 35], [1944, 35], [1945, 35], [1946, 35], [1947, 40], [1948, 55], [1949, 55], [1950, 40], [1951, 55], [1952, 40], [1953, 40], [1954, 40], [1955, 40], [1956, 35], [1957, 25], [1958, 15], [1959, 30], [1960, 25], [1961, 15], [1962, 15], [1963, 10], [1964, 35], [1965, 30], [1966, 25], [1967, 20], [1968, 10], [1969, 5], [1970, 10], [1971, 20], [1972, 10], [1973, 10], [1974, 10], [1975, 5], [1976, 10], [1977, 5], [1978, 5], [1979, 15], [1980, 15], [1981, 10], [1982, 10], [1983, 10], [1984, 10], [1985, 10], [1986, 10], [1987, 15], [1988, 15], [1989, 15], [1990, 25], [1991, 25], [1992, 30], [1993, 35], [1994, 55], [1995, 45], [1996, 60], [1997, 70], [1998, 105], [1999, 125], [2000, 115], [2001, 140], [2002, 125], [2003, 170], [2004, 200], [2005, 240], [2006, 300], [2007, 340], [2008, 340], [2009, 355], [2010, 425], [2011, 395], [2012, 380], [2013, 375], [2014, 355], [2015, 375], [2016, 390], [2017, 460], [2018, 470], [2019, 510], [2020, 565], [2021, 690], [2022, 660], [2023, 690], [2024, 735]]",0.00737527114967462,5170.0,1.0747401758457862,0.3398582179338979,/a.ʃil/,0.00737527114967462,"[{""name"": ""achille"", ""relative_frequency"": 1.0}]"
ada,1080,"[[1941, 5], [1943, 5], [1944, 5], [1946, 5], [1947, 5], [1949, 5], [1951, 5], [1953, 5], [1954, 5], [1955, 5], [1956, 5], [1957, 5], [1958, 5], [1960, 10], [1961, 5], [1962, 10], [1963, 10], [1964, 5], [1965, 5], [1966, 5], [1967, 5], [1968, 5], [1969, 5], [1971, 5], [1973, 5], [1974, 5], [1975, 5], [1980, 5], [1982, 5], [1983, 5], [1984, 5], [1986, 5], [1988, 5], [1989, 5], [1990, 5], [1991, 5], [1992, 5], [1993, 5], [1994, 10], [1995, 5], [1996, 5], [1997, 5], [1999, 5], [2000, 5], [2001, 5], [2002, 5], [2003, 5], [2004, 10], [2005, 20], [2006, 20], [2007, 10], [2008, 15], [2009, 20], [2010, 20], [2011, 15], [2012, 25], [2013, 30], [2014, 35], [2015, 25], [2016, 25], [2017, 30], [2018, 35], [2019, 35], [2020, 65], [2021, 65], [2022, 85], [2023, 120], [2024, 120]]",0.9537037037037037,580.0,0.12057046460165494,0.03184788506452146,/a.da/,0.9537037037037037,"[{""name"": ""ada"", ""relative_frequency"": 1.0}]"
adaline,560,"[[2013, 5], [2014, 10], [2015, 20], [2016, 55], [2017, 75], [2018, 75], [2019, 80], [2020, 55], [2021, 50], [2022, 50], [2023, 35], [2024, 50]]",1.0,525.0,0.10913705847563593,0.01651371818160372,/a.da.lin/,1.0,"[{""name"": ""adaline"", ""relative_frequency"": 1.0}]"
adam,81790,"[[1941, 10], [1942, 10], [1943, 10], [1944, 10], [1945, 10], [1946, 10], [1947, 10], [1948, 5], [1949, 10], [1950, 10], [1951, 15], [1952, 5], [1953, 10], [1954, 10], [1955, 5], [1956, 10], [1957, 5], [1958, 10], [1959, 5], [1960, 10], [1961, 10], [1962, 10], [1963, 10], [1964, 5], [1965, 30], [1966, 25], [1967, 20], [1968, 25], [1969, 15], [1970, 20], [1971, 30], [1972, 20], [1973, 30], [1974, 30], [1975, 20], [1976, 20], [1977, 35], [1978, 20], [1979, 25], [1980, 30], [1981, 45], [1982, 45], [1983, 30], [1984, 60], [1985, 120], [1986, 110], [1987, 105], [1988, 165], [1989, 155], [1990, 180], [1991, 235], [1992, 240], [1993, 305], [1994, 360], [1995, 425], [1996, 560], [1997, 525], [1998, 600], [1999, 725], [2000, 840], [2001, 940], [2002, 1115], [2003, 1280], [2004, 1600], [2005, 1895], [2006, 2350], [2007, 2770], [2008, 3145], [2009, 3275], [2010, 3420], [2011, 3660], [2012, 4160], [2013, 4400], [2014, 4565], [2015, 4535], [2016, 4665], [2017, 4190], [2018, 3905], [2019, 3680], [2020, 3400], [2021, 3160], [2022, 3220], [2023, 2970], [2024, 3050]]",0.0015283041936667073,32240.0,6.702054790960957,2.4118875179881574,/a.dam/,0.0015283041936667073,"[{""name"": ""adam"", ""relative_frequency"": 1.0}]"
adama,4145,"[[1962, 5], [1968, 5], [1972, 5], [1974, 10], [1975, 15], [1976, 20], [1977, 15], [1978, 20], [1979, 15], [1980, 25], [1981, 35], [1982, 35], [1983, 50], [1984, 40], [1985, 50], [1986, 55], [1987, 65], [1988, 60], [1989, 60], [1990, 50], [1991, 75], [1992, 65], [1993, 65], [1994, 70], [1995, 55], [1996, 55], [1997, 45], [1998, 60], [1999, 70], [2000, 65], [2001, 80], [2002, 85], [2003, 90], [2004, 90], [2005, 90], [2006, 85], [2007, 90], [2008, 110], [2009, 115], [2010, 115], [2011, 95], [2012, 120], [2013, 110], [2014, 105], [2015, 125], [2016, 115], [2017, 130], [2018, 150], [2019, 135], [2020, 150], [2021, 145], [2022, 190], [2023, 165], [2024, 200]]",0.28347406513872137,1380.0,0.28687455370738585,0.12223100332633466,/a.da.ma/,0.28347406513872137,"[{""name"": ""adama"", ""relative_frequency"": 1.0}]"
adan,1380,"[[1991, 5], [1993, 5], [1994, 5], [1995, 5], [1996, 10], [1998, 10], [1999, 10], [2000, 15], [2001, 15], [2002, 20], [2003, 20], [2004, 30], [2005, 40], [2006, 40], [2007, 60], [2008, 45], [2009, 55], [2010, 65], [2011, 65], [2012, 80], [2013, 85], [2014, 95], [2015, 65], [2016, 70], [2017, 60], [2018, 80], [2019, 60], [2020, 55], [2021, 60], [2022, 60], [2023, 50], [2024, 40]]",0.007246376811594203,535.0,0.11121585958945757,0.040694519804666304,/a.dan/,0.007246376811594203,"[{""name"": ""adan"", ""relative_frequency"": 1.0}]"
adel,9555,"[[1962, 5], [1963, 5], [1964, 5], [1965, 5], [1966, 5], [1967, 20], [1968, 15], [1969, 20], [1970, 25], [1971, 40], [1972, 50], [1973, 60], [1974, 60], [1975, 60], [1976, 75], [1977, 90], [1978, 95], [1979, 105], [1980, 110], [1981, 110], [1982, 115], [1983, 100], [1984, 85], [1985, 95], [1986, 85], [1987, 85], [1988, 110], [1989, 110], [1990, 105], [1991, 105], [1992, 120], [1993, 115], [1994, 130], [1995, 170], [1996, 165], [1997, 270], [1998, 365], [1999, 295], [2000, 280], [2001, 275], [2002, 230], [2003, 245], [2004, 235], [2005, 235], [2006, 265], [2007, 245], [2008, 245], [2009, 230], [2010, 220], [2011, 210], [2012, 270], [2013, 280], [2014, 255], [2015, 295], [2016, 240], [2017, 215], [2018, 205], [2019, 210], [2020, 200], [2021, 250], [2022, 210], [2023, 215], [2024, 210]]",0.0020931449502878076,1955.0,0.40640561775212997,0.2817653164736134,/a.dɛl/,0.7820878494010268,"[{""name"": ""adel"", ""relative_frequency"": 0.21802624073017685}, {""name"": ""ad\u00e8le"", ""relative_frequency"": 0.7819737592698232}]"
adem,13275,"[[1972, 5], [1974, 5], [1975, 5], [1976, 15], [1977, 15], [1978, 20], [1979, 25], [1980, 30], [1981, 25], [1982, 30], [1983, 30], [1984, 45], [1985, 35], [1986, 40], [1987, 30], [1988, 25], [1989, 35], [1990, 55], [1991, 45], [1992, 35], [1993, 50], [1994, 65], [1995, 45], [1996, 65], [1997, 55], [1998, 80], [1999, 90], [2000, 85], [2001, 95], [2002, 155], [2003, 160], [2004, 190], [2005, 235], [2006, 290], [2007, 320], [2008, 365], [2009, 395], [2010, 420], [2011, 545], [2012, 650], [2013, 650], [2014, 750], [2015, 755], [2016, 770], [2017, 750], [2018, 775], [2019, 760], [2020, 695], [2021, 625], [2022, 610], [2023, 605], [2024, 625]]",0.0,6215.0,1.2919748922401473,0.39146358725140956,/a.dɛm/,0.0,"[{""name"": ""adem"", ""relative_frequency"": 1.0}]"
aden,1110,"[[1991, 5], [1994, 5], [1995, 5], [1997, 5], [1998, 5], [2000, 5], [2001, 5], [2003, 5], [2004, 5], [2005, 5], [2006, 10], [2007, 10], [2008, 15], [2009, 25], [2010, 20], [2011, 25], [2012, 25], [2013, 35], [2014, 60], [2015, 60], [2016, 85], [2017, 85], [2018, 95], [2019, 105], [2020, 85], [2021, 95], [2022, 75], [2023, 80], [2024, 70]]",0.04054054054054054,775.0,0.16110708632117685,0.03273254853853594,/a.dɛn/,0.04054054054054054,"[{""name"": ""aden"", ""relative_frequency"": 1.0}]"
adil,5645,"[[1971, 5], [1972, 10], [1973, 15], [1974, 35], [1975, 35], [1976, 60], [1977, 95], [1978, 125], [1979, 120], [1980, 145], [1981, 125], [1982, 130], [1983, 105], [1984, 95], [1985, 115], [1986, 100], [1987, 95], [1988, 95], [1989, 90], [1990, 85], [1991, 90], [1992, 95], [1993, 75], [1994, 100], [1995, 90], [1996, 90], [1997, 85], [1998, 110], [1999, 125], [2000, 105], [2001, 105], [2002, 110], [2003, 135], [2004, 120], [2005, 110], [2006, 120], [2007, 125], [2008, 135], [2009, 145], [2010, 145], [2011, 165], [2012, 145], [2013, 150], [2014, 145], [2015, 140], [2016, 135], [2017, 150], [2018, 160], [2019, 150], [2020, 95], [2021, 85], [2022, 90], [2023, 65], [2024, 75]]",0.0,1005.0,0.2089195119390745,0.1664641770270589,/a.dil/,0.0,"[{""name"": ""adil"", ""relative_frequency"": 1.0}]"
adonis,1835,"[[1941, 5], [1942, 5], [1943, 5], [1952, 5], [1954, 5], [1962, 5], [1967, 5], [1968, 5], [1970, 5], [1972, 5], [1974, 5], [1977, 5], [1978, 5], [1979, 5], [1982, 5], [1983, 5], [1984, 5], [1985, 5], [1986, 5], [1987, 5], [1989, 5], [1990, 5], [1991, 5], [1992, 10], [1993, 5], [1994, 10], [1995, 15], [1996, 10], [1997, 5], [1998, 10], [1999, 20], [2000, 25], [2001, 20], [2002, 30], [2003, 35], [2004, 40], [2005, 60], [2006, 40], [2007, 55], [2008, 55], [2009, 65], [2010, 60], [2011, 50], [2012, 40], [2013, 50], [2014, 40], [2015, 30], [2016, 75], [2017, 90], [2018, 65], [2019, 115], [2020, 80], [2021, 85], [2022, 110], [2023, 155], [2024, 165]]",0.0,940.0,0.19540730469923387,0.054111915827219324,/a.dɔ.nis/,0.0,"[{""name"": ""adonis"", ""relative_frequency"": 1.0}]"
adrian,6175,"[[1957, 5], [1959, 5], [1961, 5], [1962, 5], [1963, 5], [1964, 10], [1965, 5], [1967, 5], [1968, 5], [1969, 5], [1970, 5], [1971, 5], [1972, 5], [1973, 5], [1975, 10], [1976, 10], [1977, 10], [1978, 10], [1979, 25], [1980, 30], [1981, 25], [1982, 30], [1983, 45], [1984, 60], [1985, 75], [1986, 120], [1987, 115], [1988, 130], [1989, 120], [1990, 135], [1991, 145], [1992, 135], [1993, 120], [1994, 155], [1995, 160], [1996, 140], [1997, 185], [1998, 160], [1999, 135], [2000, 165], [2001, 125], [2002, 130], [2003, 130], [2004, 140], [2005, 135], [2006, 135], [2007, 100], [2008, 130], [2009, 115], [2010, 130], [2011, 160], [2012, 130], [2013, 165], [2014, 145], [2015, 150], [2016, 170], [2017, 170], [2018, 155], [2019, 210], [2020, 180], [2021, 185], [2022, 190], [2023, 180], [2024, 190]]",0.0,1630.0,0.3388445815529268,0.18209323173464814,/a.dʁi.an/,0.0,"[{""name"": ""adrian"", ""relative_frequency"": 1.0}]"
adriana,3515,"[[1943, 5], [1950, 5], [1951, 5], [1953, 5], [1954, 10], [1955, 5], [1957, 10], [1958, 10], [1959, 5], [1960, 15], [1961, 10], [1962, 10], [1963, 10], [1964, 10], [1965, 10], [1966, 15], [1967, 10], [1968, 10], [1969, 15], [1970, 10], [1971, 10], [1972, 10], [1973, 15], [1974, 10], [1975, 10], [1976, 5], [1977, 15], [1978, 5], [1979, 10], [1980, 10], [1981, 10], [1982, 15], [1983, 10], [1984, 20], [1985, 20], [1986, 25], [1987, 15], [1988, 20], [1989, 30], [1990, 25], [1991, 30], [1992, 25], [1993, 20], [1994, 25], [1995, 50], [1996, 40], [1997, 50], [1998, 60], [1999, 130], [2000, 165], [2001, 140], [2002, 125], [2003, 105], [2004, 90], [2005, 105], [2006, 120], [2007, 95], [2008, 110], [2009, 95], [2010, 110], [2011, 100], [2012, 85], [2013, 95], [2014, 120], [2015, 90], [2016, 115], [2017, 90], [2018, 90], [2019, 105], [2020, 75], [2021, 85], [2022, 85], [2023, 105], [2024, 110]]",1.0,860.0,0.17877689578866077,0.10365307037203048,/a.dʁi.a.na/,1.0,"[{""name"": ""adriana"", ""relative_frequency"": 1.0}]"
